User_id;Credit_id;Count_months;Amount;Month_payment;Payed;Left;Planned;Credit_taken;Pay_date
3408;177;7;1000;100;100,00;0,00;100;30.12.2019 11:38;30.01.2020
9527;178;7;500;50;50,00;0,00;50;30.12.2019 12:22;30.01.2020
233;180;26;5000;167;167,00;0,00;167;30.12.2019 12:57;30.01.2020
6019;181;7;500;50;50,00;0,00;50;30.12.2019 14:29;30.01.2020
11043;182;7;1000;100;100,00;0,00;100;30.12.2019 15:24;30.01.2020
10023;183;7;1000;100;0,00;0,00;100;30.12.2019 15:43;30.01.2020
11113;184;7;500;50;50,00;0,00;50;30.12.2019 15:50;30.01.2020
11157;186;7;500;50;0,00;0,00;50;30.12.2019 16:07;30.01.2020
11156;187;7;500;50;15,00;0,00;50;30.12.2019 16:25;30.01.2020
3681;188;7;1000;100;100,00;0,00;100;30.12.2019 16:33;30.01.2020
9265;189;7;1000;100;100,00;0,00;100;30.12.2019 17:18;30.01.2020
10695;190;4;500;50;50,00;0,00;50;30.12.2019 17:48;30.01.2020
9966;191;7;1000;100;100,00;0,00;100;30.12.2019 17:53;30.01.2020
11501;192;27;5000;167;167,00;0,00;167;30.12.2019 18:53;30.01.2020
11508;193;7;500;50;50,00;0,00;50;30.12.2019 18:59;30.01.2020
2991;194;7;500;50;0,00;0,00;50;30.12.2019 19:05;30.01.2020
11431;195;9;1000;100;0,00;100,00;100;30.12.2019 19:09;30.01.2020
2426;196;7;500;50;50,00;0,00;50;30.12.2019 19:45;30.01.2020
5897;197;5;500;50;0,00;0,00;50;30.12.2019 19:58;30.01.2020
10841;198;7;500;50;50,00;0,00;50;30.12.2019 20:18;30.01.2020
134;199;7;1000;100;100,00;0,00;100;30.12.2019 20:37;30.01.2020
11746;200;7;500;50;50,00;0,00;50;30.12.2019 20:47;30.01.2020
2735;201;27;5000;167;167,00;0,00;167;30.12.2019 22:00;30.01.2020
34;202;9;1000;100;2,00;98,00;100;30.12.2019 13:34;30.01.2020
12033;203;8;1000;100;100,00;0,00;100;30.12.2019 22:22;30.01.2020
2409;204;27;5000;167;0,00;0,00;167;30.12.2019 22:22;30.01.2020
455;206;7;500;50;32,00;0,00;50;31.12.2019 0:30;30.01.2020
9890;207;7;1000;100;100,00;0,00;100;31.12.2019 0:44;30.01.2020
12525;208;6;500;50;50,00;0,00;50;31.12.2019 0:49;30.01.2020
12402;209;7;1000;100;100,00;0,00;100;31.12.2019 0:52;30.01.2020
69;210;7;500;50;50,00;0,00;50;31.12.2019 1:18;30.01.2020
132;211;8;500;50;50,00;0,00;50;31.12.2019 2:27;30.01.2020
12708;212;9;1000;100;0,00;100,00;100;31.12.2019 2:51;30.01.2020
