User_id,Credit_id,Count_months,Amount,Month_payment,Payed,Left,Planned,Credit_taken,Pay_date
9435,226,7,1000.00,100.00,100.00,100.00,100.00,2019-12-31 16:18:43,2020-03-31
8580,227,7,500.00,50.00,49.00,0.70,50.00,2019-12-31 16:33:24,2020-03-31
12674,228,7,500.00,50.00,0,50.00,50.00,2019-12-31 16:42:14,2020-03-31
14134,229,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 17:00:54,2020-03-31
14192,230,8,1000.00,100.00,0,100.00,100.00,2019-12-31 17:32:23,2020-03-31
14202,231,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 17:34:34,2020-03-31
14065,232,8,1000.00,100.00,0,100.00,100.00,2019-12-31 17:41:31,2020-03-31
96,233,9,500.00,50.00,0,50.00,50.00,2019-12-31 17:44:16,2020-03-31
183,234,8,1000.00,100.00,0,100.00,100.00,2019-12-31 18:06:53,2020-03-31
10947,235,8,1000.00,100.00,0,100.00,100.00,2019-12-31 18:36:10,2020-03-31
12477,236,3,500.00,50.00,200.00,0.00,50.00,2019-12-31 18:57:17,2020-03-31
11360,237,7,500.00,50.00,0,50.00,50.00,2019-12-31 18:59:21,2020-03-31
12887,238,9,1000.00,100.00,0,100.00,100.00,2019-12-31 19:02:03,2020-03-31
2733,239,6,500.00,50.00,0,0.00,50.00,2019-12-31 19:27:51,2020-03-31
14186,240,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 19:49:23,2020-03-31
13891,241,7,1000.00,100.00,100.00,100.00,100.00,2019-12-31 19:55:59,2020-03-31
824,242,7,1000.00,100.00,82.25,100.00,100.00,2019-12-31 20:15:53,2020-03-31
14518,243,7,1000.00,100.00,0,100.00,100.00,2019-12-31 20:26:06,2020-03-31
13609,244,7,500.00,50.00,0,50.00,50.00,2019-12-31 20:33:04,2020-03-31
14567,245,7,500.00,50.00,0,50.00,50.00,2019-12-31 20:45:52,2020-03-31
835,246,18,3000.00,150.00,0,150.00,150.00,2019-12-31 20:57:05,2020-03-31
13832,247,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 21:09:59,2020-03-31
14513,248,8,1000.00,100.00,0,100.00,100.00,2019-12-31 21:41:19,2020-03-31
9192,249,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 21:44:50,2020-03-31
14356,250,9,1000.00,100.00,0,100.00,100.00,2019-12-31 22:14:43,2020-03-31
463,251,8,1000.00,100.00,46.37,100.00,100.00,2019-12-31 22:15:17,2020-03-31
1979,252,9,500.00,50.00,0,50.00,50.00,2019-12-31 22:26:34,2020-03-31
14861,253,7,500.00,50.00,50.00,50.00,50.00,2019-12-31 22:34:34,2020-03-31
14842,254,19,3000.00,150.00,0,150.00,150.00,2019-12-31 22:35:03,2020-03-31
